,Movie,Year,Time,IMDB Rating,Film Rating,Metascore,Votes,US Gross Millions,Director,Genres,Description,Actors
7,Schindler's List,1993,195,8.9,R,94        ,1200790,96.90,Steven Spielberg,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
24,Saving Private Ryan,1998,169,8.6,R,91        ,1222005,216.54,Steven Spielberg,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
72,Raiders of the Lost Ark,1981,115,8.4,PG,85        ,876200,248.16,Steven Spielberg,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
169,Indiana Jones and the Last Crusade,1989,127,8.2,PG-13,65        ,686025,197.17,Steven Spielberg,"Action, Adventure","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"
243,Catch Me If You Can,2002,141,8.1,PG-13,75        ,817014,164.62,Steven Spielberg,"Biography, Crime, Drama","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl, becomes obsessed with tracking down the con man. But Frank not only eludes capture, he revels in the pursuit.","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
261,Jurassic Park,1993,127,8.1,PG-13,68        ,858534,402.45,Steven Spielberg,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
417,Jaws,1975,124,8.0,PG,87        ,540481,260.00,Steven Spielberg,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
679,The Color Purple,1985,154,7.8,PG-13,78        ,77611,98.47,Steven Spielberg,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,"Danny Glover, Whoopi Goldberg, Oprah Winfrey, Margaret Avery"
685,E.T. the Extra-Terrestrial,1982,115,7.8,PG,91        ,368395,435.11,Steven Spielberg,"Family, Sci-Fi",A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace"
828,Empire of the Sun,1987,153,7.7,PG,62        ,114601,22.24,Steven Spielberg,"Action, Drama, History",A young English boy struggles to survive under Japanese occupation during World War II.,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"
