,Movie,Year,Ratings,Metascores,Userscores,Comparison,Difference
0,Citizen Kane,"September 4, 1941", | Approved,100.0,85.0,True,15.0
1,The Godfather,"March 11, 1972", | R,100.0,92.0,True,8.0
2,Rear Window,"September 1, 1954", | TV-G,100.0,88.0,True,12.0
3,Casablanca,"January 23, 1943", | TV-PG,100.0,89.0,True,11.0
4,Boyhood,"July 11, 2014", | R,100.0,76.0,True,24.0
5,Three Colors: Red,"November 23, 1994", | R,100.0,86.0,True,14.0
6,Vertigo,"May 28, 1958", | PG,100.0,88.0,True,12.0
7,Notorious,"September 6, 1946", | Approved,100.0,79.0,True,21.0
8,Singin' in the Rain,"April 11, 1952", | G,99.0,88.0,True,11.0
9,City Lights,"March 7, 1931", | Passed,99.0,90.0,True,9.0
10,Moonlight,"October 21, 2016", | Not Rated,99.0,71.0,True,28.0
11,Intolerance,"September 5, 1916", | Not Rated,99.0,90.0,True,9.0
12,Pinocchio,"February 23, 1940", | Passed,99.0,82.0,True,17.0
13,Touch of Evil,"February 1, 1958", | PG-13,99.0,84.0,True,15.0
14,The Treasure of the Sierra Madre,"January 24, 1948", | TV-PG,98.0,85.0,True,13.0
15,Pan's Labyrinth,"December 29, 2006", | R,98.0,87.0,True,11.0
16,Some Like It Hot,"March 29, 1959", | Approved,98.0,83.0,True,15.0
17,North by Northwest,"August 6, 1959", | TV-G,98.0,82.0,True,16.0
19,Hoop Dreams,"October 14, 1994", | PG-13,98.0,81.0,True,17.0
20,Rashomon,"December 26, 1951", | Not Rated,98.0,86.0,True,12.0
21,All About Eve,"October 27, 1950", | TV-PG,98.0,88.0,True,10.0
22,Jules and Jim,"April 23, 1962", | Not Rated,97.0,83.0,True,14.0
23,The Wild Bunch,"June 18, 1969", | R,97.0,80.0,True,17.0
24,My Left Foot,"March 30, 1990", | R,97.0,85.0,True,12.0
25,The Third Man,"September 3, 1949", | Approved,97.0,84.0,True,13.0
26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"January 29, 1964", | GP,97.0,83.0,True,14.0
27,Gone with the Wind,"January 17, 1940", | TV-PG,97.0,85.0,True,12.0
28,"4 Months, 3 Weeks and 2 Days","January 23, 2008", | Not Rated,97.0,80.0,True,17.0
29,Psycho,"September 8, 1960", | M,97.0,91.0,True,6.0
30,Battleship Potemkin,"December 5, 1926", | Not Rated,97.0,96.0,True,1.0
31,A Streetcar Named Desire,"September 19, 1951", | M/PG,97.0,84.0,True,13.0
32,American Graffiti,"August 11, 1973", | PG,97.0,77.0,True,20.0
33,Dumbo,"October 31, 1941", | Approved,96.0,80.0,True,16.0
34,Roma,"November 21, 2018", | Not Rated,96.0,78.0,True,18.0
35,Ran,"December 20, 1985", | R,96.0,85.0,True,11.0
36,The Shop Around the Corner,"January 12, 1940", | Passed,96.0,86.0,True,10.0
37,12 Angry Men,"April 1, 1957", | TV-PG,96.0,93.0,True,3.0
38,Manchester by the Sea,"November 18, 2016", | R,96.0,82.0,True,14.0
39,Rosemary's Baby,"June 12, 1968", | Approved,96.0,82.0,True,14.0
40,The Maltese Falcon,"October 18, 1941", | TV-PG,96.0,79.0,True,17.0
41,12 Years a Slave,"October 18, 2013", | R,96.0,80.0,True,16.0
42,Killer of Sheep,"March 30, 2007", | Not Rated,96.0,69.0,True,27.0
44,Nashville,"June 11, 1975", | R,96.0,88.0,True,8.0
45,Ratatouille,"June 29, 2007", | G,96.0,86.0,True,10.0
46,Parasite,"October 11, 2019", | Not Rated,96.0,89.0,True,7.0
47,Don't Look Now,"December 9, 1973", | R,96.0,86.0,True,10.0
48,The Grapes of Wrath,"March 15, 1940", | Approved,96.0,89.0,True,7.0
49,Children of Paradise (1945),"March 9, 2012", | Not Rated,96.0,90.0,True,6.0
50,Mean Streets,"October 14, 1973", | R,96.0,76.0,True,20.0
51,The Lady Eve,"March 21, 1941", | Passed,96.0,70.0,True,26.0
52,Gravity,"October 4, 2013", | PG-13,96.0,78.0,True,18.0
53,Fantasia,"November 13, 1940", | Approved,96.0,85.0,True,11.0
54,Spirited Away,"September 20, 2002", | PG,96.0,90.0,True,6.0
55,Beauty and the Beast,"November 22, 1991", | G,95.0,86.0,True,9.0
56,Toy Story,"November 22, 1995", | TV-G,95.0,90.0,True,5.0
57,The Bride of Frankenstein,"May 6, 1935", | TV-PG,95.0,86.0,True,9.0
58,The Social Network,"October 1, 2010", | PG-13,95.0,82.0,True,13.0
59,My Fair Lady,"December 25, 1964", | G,95.0,85.0,True,10.0
60,Portrait of a Lady on Fire,"December 6, 2019", | R,95.0,87.0,True,8.0
61,I Am Not Your Negro,"December 9, 2016", | PG-13,95.0,54.0,True,41.0
63,Double Indemnity,"July 6, 1944", | Passed,95.0,84.0,True,11.0
64,Collective,"November 20, 2020", | Not Rated,95.0,73.0,True,22.0
65,Snow White and the Seven Dwarfs,"February 4, 1938", | G,95.0,82.0,True,13.0
66,The Hurt Locker,"June 26, 2009", | R,95.0,73.0,True,22.0
